                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.401,                 42.614,                 2.2544,                0.00238,                0.45217,                0.00255,                0.00079,                 4.2732,                  51.35,                 3.1117,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 4.0336,                 38.851,                 2.0189,                0.90046,                0.38525,                0.49274,                0.26727,                 3.2327,                 31.966,                 2.8887,             0.00010707,             0.00010707,             0.00010707
                      3,                 3.2813,                 25.809,                 1.8737,                0.62112,                0.75735,                0.71673,                0.40425,                 3.2052,                 21.313,                 2.9376,             0.00016406,             0.00016406,             0.00016406
                      4,                 2.8964,                 17.082,                 1.7137,                0.68847,                0.70847,                0.78363,                0.43144,                 3.2863,                 20.536,                 2.5186,             0.00022085,             0.00022085,             0.00022085
                      5,                  2.584,                 13.682,                 1.6666,                0.72274,                0.74625,                0.79337,                0.44623,                 3.3286,                 17.438,                  2.514,             0.00027737,             0.00027737,             0.00027737
                      6,                 2.4004,                 10.698,                 1.6664,                0.79088,                0.77892,                0.81117,                0.49909,                 3.0515,                 15.711,                  2.782,             0.00033353,             0.00033353,             0.00033353
                      7,                 2.3268,                   10.3,                 1.6079,                0.80845,                0.71695,                0.78486,                0.46687,                 3.2181,                 16.012,                 2.6973,             0.00038926,             0.00038926,             0.00038926
                      8,                 2.2258,                 9.1212,                 1.6202,                0.81387,                 0.7548,                0.79693,                0.48144,                 3.1003,                 14.808,                 2.7855,             0.00044446,             0.00044446,             0.00044446
                      9,                 2.1937,                 8.0842,                 1.5834,                0.82849,                0.77913,                 0.8167,                0.49513,                 3.0886,                 12.987,                 2.6115,             0.00049906,             0.00049906,             0.00049906
                     10,                 2.1425,                 8.1897,                 1.5789,                 0.8093,                0.81791,                0.83111,                0.50547,                 2.9748,                 12.123,                 3.0928,             0.00055297,             0.00055297,             0.00055297
                     11,                 2.1786,                 8.0663,                 1.5941,                0.78877,                0.69764,                0.77434,                0.47944,                 3.1423,                 15.712,                 2.6763,             0.00060613,             0.00060613,             0.00060613
                     12,                 2.0893,                 7.1887,                 1.5871,                0.85073,                 0.7554,                0.78547,                0.47792,                 3.1042,                 13.577,                 3.0041,             0.00065845,             0.00065845,             0.00065845
